,地区名称,新增确诊,死亡人数,治愈人数,累计确诊,本土确诊,无症状
0,台湾,1543084,1554,13742,1558380,0,0
1,香港,260675,9372,62061,332108,0,0
2,上海,1487,594,60784,62865,58259,73283
3,北京,602,9,2676,3287,2570,270
4,四川,239,3,2072,2314,976,1096
5,吉林,213,5,40069,40287,40214,6235
6,河南,131,22,3021,3174,2963,457
7,天津,130,3,1818,1951,1335,132
8,福建,98,1,3113,3212,2065,4
9,广东,71,8,7209,7288,3395,26
10,浙江,41,1,3094,3136,2540,394
11,云南,14,2,2124,2140,630,4
12,广西,13,2,1607,1622,635,18
13,江苏,9,0,2216,2225,1991,56
14,陕西,6,3,3274,3283,2800,0
15,青海,6,0,141,147,0,30
16,辽宁,5,2,1666,1673,1461,200
17,重庆,4,6,700,710,663,0
18,山东,3,7,2725,2735,2293,13
19,湖南,3,4,1386,1393,1260,0
20,河北,1,7,1996,2004,1967,21
21,海南,0,6,282,288,269,40
22,贵州,0,2,183,185,184,2
23,江西,0,1,1382,1383,1369,35
24,西藏,0,0,1,1,0,0
25,澳门,0,0,82,82,0,0
26,山西,0,0,420,420,283,1
27,甘肃,0,2,679,681,497,4
28,湖北,0,4512,63886,68398,68275,9
29,新疆,0,3,1005,1008,0,8
30,黑龙江,0,13,2970,2983,2548,4
31,内蒙古,0,1,1752,1753,1406,0
32,安徽,0,6,1059,1065,1050,20
33,宁夏,0,0,122,122,118,0
